▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社アーチサービス,N.A.,茨城県,下妻市,長塚21,0296-44-0010,N.A.,http://sougi.minrevi.jp/,ビルメンテナンス,
プリエールふるさわ,304-0056,茨城県,下妻市,長塚2-1,0296-44-0011,0296-44-0014,http://www.sogi-furusawa.com/,イベント,
株式会社つくば医療機関救急輸送サービス,304-0028,茨城県,下妻市,下木戸344-5,0296-44-0019,0296-44-0096,http://tukuba99.jp/,葬儀,
株式会社渡辺製作所つくば工場,304-0031,茨城県,下妻市,高道祖231-5,0296-44-0022,0296-44-0028,http://wtb.co.jp/,製造・加工（金属製品）,
初沢接骨院,304-0062,茨城県,下妻市,下妻戊385-2,0296-45-0063,N.A.,http://www.itami-yawaragu.com/,整体等各種療術,
日昭アルミ工業株式会社つくば支店,304-0822,茨城県,下妻市,皆葉1762-51,0296-30-0100,0296-30-0821,http://www.nisshoalumi.co.jp/,建材,
茨城県警察本部／下妻警察署,304-0061,茨城県,下妻市,下妻丙733-1,0296-43-0110,0296-43-0110,http://www.pref.ibaraki.jp/,消防・警察,
株式会社イワサキ,304-0822,茨城県,下妻市,皆葉1704-74,0296-44-0121,N.A.,http://www.iwasaki-plastic.co.jp/,製造・加工（化学・プラスチック）,
下妻市社会福祉協議会,304-0064,茨城県,下妻市,本城町3丁目13,0296-44-0142,0296-44-0559,http://www.st-shakyo.jp/,市区町村機関,
ソフトバンクイオン下妻,304-0033,茨城県,下妻市,堀篭972-1,0296-30-0160,0296-44-8875,http://www.softbank.jp/,電話・通信,
有限会社うしおだ不動産,304-0064,茨城県,下妻市,本城町3丁目35,0296-44-0202,0296-44-0202,http://www8.plala.or.jp/,不動産,
加藤食品工業所,304-0056,茨城県,下妻市,長塚200-1,0296-43-0222,0296-44-3630,http://www.kato-syokuhin.com/,製造・加工（食料品）,
