▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
かつみ不動産株式会社新座志木支店,352-0001,埼玉県,新座市,東北2丁目37-12,048-487-0001,048-474-0660,http://www.katsumi-f.co.jp/,不動産,
株式会社GOOD新座プラント,352-0015,埼玉県,新座市,池田1丁目1-13,048-481-0001,048-481-0001,http://usaki.co.jp/,総合・職別工事業,
スーパーオザム新堀店,352-0032,埼玉県,新座市,新堀2丁目13-11,042-494-0008,0428-24-5707,http://www.ozam.jp/,コンビニ・スーパー・デパート,
野火止ハウジング,352-0011,埼玉県,新座市,野火止5-2-12,048-477-0013,048-477-6863,http://www.nobitome.jp/,不動産,
極東電線工業株式会社／製造部,352-0023,埼玉県,新座市,堀ノ内3丁目6-23,048-478-0014,048-479-7311,http://www.kyokutodensen.co.jp/,製造・加工（非鉄金属製品）,
ファミリーマート新座野寺二丁目店,352-0034,埼玉県,新座市,野寺2丁目19-25,042-479-0028,N.A.,http://as.chizumaru.com/,コンビニ・スーパー・デパート,
牛角／新座畑中店,352-0012,埼玉県,新座市,畑中1丁目15-37,048-480-0029,N.A.,http://www.gyukaku.ne.jp/,肉料理,
エデュコ志木本部,352-0001,埼玉県,新座市,東北2丁目36-27,048-487-0030,N.A.,http://www.educo.co.jp/,塾・予備校,
紙材開発株式会社,352-0022,埼玉県,新座市,本多1丁目11-3,048-482-0030,03-5393-9598,http://www.shizaikaihatsu.co.jp/,ゴミ収集・資源回収,
新座市立／北野保育園,352-0003,埼玉県,新座市,北野2丁目3-10,048-477-0039,048-479-7307,http://www.city.niiza.lg.jp/,幼稚園・保育施設,
ケアハウス新座ライフ,352-0011,埼玉県,新座市,野火止4丁目12-6,048-482-0045,048-482-4021,http://www.ryusinkai.or.jp/,介護・福祉,
東武鉄道株式会社／志木駅,352-0001,埼玉県,新座市,東北2丁目38-1,048-471-0047,N.A.,http://www.tobu.co.jp/,交通機関,
トイザらス新座店,352-0011,埼玉県,新座市,野火止5丁目2-60,048-483-0050,N.A.,http://www.toysrus.co.jp/,おもちゃ・キャラクタ,
えむ歯科クリニック,352-0011,埼玉県,新座市,野火止6丁目19-6,048-479-0052,048-479-0057,http://www.emu-dental.com/,歯科系,
新座市商工会,352-0011,埼玉県,新座市,野火止1丁目9-62,048-478-0055,048-478-0048,http://2134sci.or.jp/,組合・団体,
すずの木,352-0001,埼玉県,新座市,東北2丁目26-10-102,048-473-0056,N.A.,http://www.suzunoki-syunmi.com/,飲み屋,
ヒカリ工業株式会社,N.A.,埼玉県,新座市,野火止1-18-9,048-481-0065,N.A.,http://www.hikari-kougyou.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社永晃,352-0004,埼玉県,新座市,大和田1丁目1-27,048-458-0070,048-458-0073,http://e-eiko.co.jp/,製造・加工（衣料関連）,
福島土地株式会社,352-0001,埼玉県,新座市,東北2-31-6第一福島ビル5F,048-471-0070,048-474-4699,http://fukushimatochi.co.jp/,不動産,
武蔵野清運有限会社,352-0024,埼玉県,新座市,道場2丁目17-6,048-480-0085,042-438-8939,http://musashino-seiun.com/,ゴミ収集・資源回収,
株式会社マジックマウンテン,352-0011,埼玉県,新座市,野火止2-8-5,048-480-0088,048-480-0089,http://www.magic-mountain.jp/,販売・卸（その他）,
株式会社グレース,352-0025,埼玉県,新座市,片山1-16-4,048-482-0089,048-480-3130,http://www.grace-corp.co.jp/,製造・加工（医療・薬関連）,
株式会社トヨタレンタリース埼玉志木店,352-0001,埼玉県,新座市,東北2丁目36-16,048-475-0100,048-472-6441,http://saitama.rl-toyota.co.jp/,リース・レンタル,
株式会社細田工務店,352-0016,埼玉県,新座市,馬場2-6-3,048-478-0105,N.A.,http://www.hosoda.co.jp/,総合・職別工事業,
株式会社エムエスビー,352-0011,埼玉県,新座市,野火止4-2-14,048-480-0111,048-480-0222,http://www.msb-logi.jp/,運送・貨物・倉庫,
日本宗教用具株式会社,N.A.,埼玉県,新座市,東北2-24-17,048-472-0111,048-474-8212,http://www.nihondou.co.jp/,家具・インテリア,
とりづか歯科医院,352-0001,埼玉県,新座市,東北2丁目30-16,048-470-0118,N.A.,http://www.torizukashika.com/,歯科系,
埼玉県南西部消防本部／新座消防署,352-0011,埼玉県,新座市,野火止2丁目9-45,048-482-0119,048-478-1318,http://www.kennanseibu119.jp/,消防・警察,
インターネットカフェラペ志木店,352-0001,埼玉県,新座市,東北2丁目30-21,048-475-0121,N.A.,http://jiqoo.jp/,マンガ・ネットカフェ,
