▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社まくたスタジオ,989-1606,宮城県,柴田郡柴田町,大字船岡字新生町7-3,0224-57-0001,N.A.,http://www.makuta-studio.com/,写真・ビデオ・スライド,
ネッツトヨタ仙台株式会社柴田店,989-1622,宮城県,柴田郡柴田町,西船迫1丁目1-9,0224-57-0010,0224-58-2731,http://www.netz-sendai.jp/,車検・整備・修理,
株式会社トヨタレンタリース宮城柴田店,989-1601,宮城県,柴田郡柴田町,船岡中央2丁目11-6,0224-57-0100,0224-57-0130,http://www.trl-miyagi.co.jp/,リース・レンタル,
ダイシン船岡店,989-1621,宮城県,柴田郡柴田町,大字本船迫字立石1-13,0224-52-0481,0224-52-0487,http://diy-daishin.co.jp/,生活用品,
北日本電線株式会社／船岡事業所,989-1606,宮城県,柴田郡柴田町,大字船岡字山田1-4,0224-57-0700,022-307-1763,http://www.kitaniti-td.co.jp/,製造・加工（非鉄金属製品）,
ライフフィットスポーツ株式会社,989-1611,宮城県,柴田郡柴田町,大字上名生字新大原194-1,0224-57-0850,0224-57-0851,http://lifefitsports.com/,スポーツ,
とんかつ夕やけ,989-1622,宮城県,柴田郡柴田町,西船迫2丁目10,0224-55-0872,N.A.,http://www.11sumai.jp/,肉料理,
株式会社マックハウス柴田ショッピングセンター店,989-1611,宮城県,柴田郡柴田町,大字上名生字新大原194-1,0224-57-0939,N.A.,http://www.mac-house.co.jp/,洋服,
ダイシャリン船岡店,989-1622,宮城県,柴田郡柴田町,西船迫2丁目7-7,0224-54-1001,0224-54-1014,http://www.daisharin.co.jp/,自転車,
株式会社おてんとさん,989-1606,宮城県,柴田郡柴田町,大字船岡字東原町132-1,0224-57-1007,N.A.,http://www.otentosun.co.jp/,食料品,
ホワイト急便柴田バイパス店,989-1622,宮城県,柴田郡柴田町,西船迫2丁目2-8,0224-57-1017,N.A.,http://www.white-kyubin.com/,衣類のリフォーム,
飯渕歯科医院,989-1752,宮城県,柴田郡柴田町,槻木下町1丁目1-60,0224-56-1026,0224-56-2608,http://iibuchi-dental.com/,歯科系,
株式会社伊藤チェーン／槻木マルコ店,989-1752,宮城県,柴田郡柴田町,槻木下町1丁目4-38,0224-56-1034,0224-58-7173,http://www.itochain.com/,コンビニ・スーパー・デパート,
船岡今野病院,989-1601,宮城県,柴田郡柴田町,船岡中央2丁目5-16,0224-54-1034,0224-54-2021,http://www.konnohospital.jp/,泌尿器科,
株式会社ホンダカーズ宮城中央船岡店,989-1622,宮城県,柴田郡柴田町,西船迫2丁目2-10,0224-57-1051,0224-57-1062,http://www.hondacars-miyagi.co.jp/,自動車販売,
豊屋食品工業株式会社,989-1613,宮城県,柴田郡柴田町,下名生字八剱20,0224-55-1071,0224-55-4675,http://www.yutaka-ya.com/,製造・加工（食料品）,
マルトモ株式会社／仙台支店,989-1756,宮城県,柴田郡柴田町,大字槻木字萱ケ崎63-1,0224-56-1077,0224-56-1088,http://www.marutomo.co.jp/,食料品,
株式会社サカモト,989-1601,宮城県,柴田郡柴田町,船岡中央1-9-12,0224-58-1100,0224-58-2252,http://sakamoto.es-ws.jp/,リフォーム,
赤帽仙南センター,989-1606,宮城県,柴田郡柴田町,大字船岡字新生町13-12,0224-57-1107,022-786-8532,http://miyagi.akabou.jp/,運送・貨物・倉庫,
大和電設工業株式会社,989-1622,宮城県,柴田郡柴田町,西船迫一丁目1-27,0224-55-1110,0224-55-2398,http://www.ddk.co.jp/,建設業・工務店,
みやぎ仙南農業協同組合／本店／総務部,989-1622,宮城県,柴田郡柴田町,西船迫1丁目10-3,0224-55-1111,0224-55-1115,http://www.ja-miyagisennan.jp/,組合・団体,
セブンイレブン／柴田槻木上町店,989-1753,宮城県,柴田郡柴田町,槻木上町3丁目1-26,0224-56-1118,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
ぜにた動物病院,989-1607,宮城県,柴田郡柴田町,船岡新栄3丁目42-16,0224-57-1121,0224-57-1121,http://www.pethospital.jp/,動物病院・獣医師,
株式会社ロジス・ワークス,989-1606,宮城県,柴田郡柴田町,大字船岡字鍋倉1,0224-53-1121,N.A.,http://www.swcc.co.jp/,運送・貨物・倉庫,
仙台大学体育学部,989-1605,宮城県,柴田郡柴田町,船岡南2丁目2-18,0224-55-1121,0224-57-2769,http://www.sendaidaigaku.jp/,小・中・高・大学等,
株式会社仙台銀行／船岡支店,989-1601,宮城県,柴田郡柴田町,船岡中央2丁目13-12,0224-55-1140,N.A.,http://www.sendaibank.co.jp/,金融・郵貯・貸金,
株式会社モトキ,989-1606,宮城県,柴田郡柴田町,大字船岡字八入26-6,0224-58-1151,0224-58-1150,http://motoki.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社小熊生花店,989-1622,宮城県,柴田郡柴田町,西船迫1丁目1-13,0224-57-1155,0224-57-1187,http://www.fujitv-flower.net/,賃貸・レンタル,
