▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
南郷温泉しゃくなげの湯,378-0313,群馬県,沼田市,利根町日影南郷100,0278-20-0011,0278-20-0022,http://www.syakunage.jp/,観光・温泉・銭湯,
染谷りんご園,378-0005,群馬県,沼田市,久屋原町69-1,0278-23-0047,0278-23-0047,http://www.someya-apple.com/,観光・温泉・銭湯,
網元,378-0042,群馬県,沼田市,西倉内町828,0278-23-0066,06-6213-1066,https://douraku.co.jp/,魚料理,
沼田フィッシングプラザ,378-0055,群馬県,沼田市,柳町2349-2,0278-22-0088,N.A.,http://www.kawaba-fp.jp/,アウトドア,
ホシザキ北関東株式会社／沼田営業所,378-0051,群馬県,沼田市,上原町1716-23,0278-22-0091,N.A.,http://www.hoshizaki-kitakanto.co.jp/,バス・トイレ・キッチン,
株式会社トヨタレンタリース群馬沼田駅前店,378-0016,群馬県,沼田市,清水町4310-5,0278-60-0100,0278-22-7100,http://www.r-gunma.co.jp/,リース・レンタル,
auショップ沼田店,378-0004,群馬県,沼田市,下久屋町1072,0278-22-0102,N.A.,https://www.au.com/,電話・通信,
桑原農園／りんご狩直売所,378-0002,群馬県,沼田市,横塚町1287,0278-24-0102,0278-24-2852,http://kuwabara-nouen.com/,観光・温泉・銭湯,
株式会社マルキホームズ,378-0051,群馬県,沼田市,上原町1697,0278-23-0110,0278-24-1095,http://chuohomes.co.jp/,販売・卸（日用品）,
群馬県警察本部／沼田警察署,378-0051,群馬県,沼田市,上原町1738-1,0278-22-0110,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
群馬三菱自動車販売株式会社／沼田店,378-0005,群馬県,沼田市,久屋原町335-10,0278-23-0115,0278-22-5318,http://www.gunma-mitsubishi.co.jp/,自動車販売,
利根西部運送株式会社／本社,378-0056,群馬県,沼田市,高橋場町313,0278-23-0138,N.A.,http://www.kannet.ne.jp/,運送・貨物・倉庫,
ピッツェリア・チッチョチッチョ,378-0031,群馬県,沼田市,薄根町3465-6,0278-22-0141,N.A.,http://ciccio-ciccio.com/,イタリアン・フレンチ,
群馬県庁／その他機関／利根教育事務所,378-0031,群馬県,沼田市,薄根町4412,0278-23-0165,N.A.,http://www.pref.gunma.jp/,都道府県機関,
群馬県庁／県民局／利根沼田県民局／利根沼田農業事務所／農業振興課,378-0031,群馬県,沼田市,薄根町4412,0278-23-0188,N.A.,http://www.pref.gunma.jp/,都道府県機関,
セブンイレブン／沼田西倉内店,378-0042,群馬県,沼田市,西倉内町817-1,0278-23-0213,029-254-8610,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
ミニストップ沼田バイパス店,378-0031,群馬県,沼田市,薄根町3400-28,0278-22-0285,N.A.,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
群馬県庁／県民局／利根沼田県民局／利根沼田農業事務所／普及指導課,378-0031,群馬県,沼田市,薄根町4412,0278-23-0338,0278-23-4597,http://www.pref.gunma.jp/,都道府県機関,
宇敷木材工業株式会社／本社,378-0045,群馬県,沼田市,材木町1273-2,0278-23-0350,0278-24-0220,http://ushiki.net/,製造・加工（建築資材）,
