▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
サンポー食品株式会社,345-0023,埼玉県,北葛飾郡杉戸町,本郷433-3,0480-47-0007,0480-47-0008,http://www.sunpofarm.co.jp/,食料品,
中嶋自動車工業株式会社,N.A.,埼玉県,北葛飾郡杉戸町,大字本郷780-1,0480-34-0008,N.A.,http://www.nac-town.co.jp/,その他サービス,
高野台こどもの家保育園,345-0045,埼玉県,北葛飾郡杉戸町,高野台西1丁目3-2,0480-31-0018,048-986-5255,http://www.nobiru.or.jp/,幼稚園・保育施設,
株式会社高橋屋,345-0036,埼玉県,北葛飾郡杉戸町,杉戸3丁目10-6,0480-32-0021,0480-32-7348,http://www.takahashiya.org/,不動産,
埼玉県立／杉戸農業高等学校,345-0024,埼玉県,北葛飾郡杉戸町,大字堤根1684-1,0480-32-0029,0480-36-1012,http://www.sugito-ah.spec.ed.jp/,小・中・高・大学等,
施餓鬼寺,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野396,0480-32-0079,0480-32-0280,http://eifukuji.net/,宗教,
杉戸クリニック,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野1760-1,0480-33-0088,N.A.,http://www.sugito-clinic.com/,医院・診療所・療養所,
関東菱油株式会社／杉戸店,345-0025,埼玉県,北葛飾郡杉戸町,清地3丁目5-15,0480-33-0091,N.A.,http://www.kanto-ryoyu.co.jp/,ガソリンスタンド,
東武鉄道株式会社／杉戸高野台駅,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目19-8,0480-34-0113,N.A.,http://www.tobu.co.jp/,交通機関,
株式会社流通サービス,N.A.,埼玉県,北葛飾郡杉戸町,大字本郷字東中501-6,0480-37-0117,N.A.,http://www.ryutsu.co.jp/,運送・貨物・倉庫,
杉戸タクシー有限会社,345-0036,埼玉県,北葛飾郡杉戸町,杉戸3丁目9-27,0480-32-0173,0480-32-2316,http://sugito-taxi.com/,タクシー,
杉戸郵便局／郵便配達,345-0035,埼玉県,北葛飾郡杉戸町,内田1丁目6-13,0480-32-0191,N.A.,http://www.post.japanpost.jp/,金融・郵貯・貸金,
株式会社セキ薬品／杉戸店,345-0025,埼玉県,北葛飾郡杉戸町,清地4丁目7-18,0480-35-0223,0480-35-0223,http://www.sekiyakuhin.co.jp/,薬,
丸井酒店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸1丁目4-8,0480-32-0223,N.A.,http://maruisaketen.blog122.fc2.com/,酒・飲料品,
サイトー精密株式会社,345-0036,埼玉県,北葛飾郡杉戸町,杉戸4丁目14-10,0480-32-0241,0480-34-6873,http://www.saito-seimitsu.co.jp/,製造・加工（電子・精密機械器具）,
専修グループ／個別指導学院／杉戸校,345-0025,埼玉県,北葛飾郡杉戸町,清地1丁目1-40,0480-37-0243,0480-37-0244,http://www.sensyu-grp.com/,塾・予備校,
山田護謨株式会社,345-0025,埼玉県,北葛飾郡杉戸町,清地3-23-14,0480-35-0311,0480-35-0314,http://www.yamada-rubber.ecweb.jp/,製造・加工（化学・プラスチック）,
三菱ふそうトラック・バス株式会社南関東ふそう春日部支店,345-0023,埼玉県,北葛飾郡杉戸町,大字本郷752,0480-35-0321,N.A.,https://www.mitsubishi-fuso.com/content/fuso/jp/index.html,自動車販売,
株式会社鈴木法衣店,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目15-7,0480-34-0369,0120-66-5966,http://www.suzukihouiten.jp/,製造・加工（木製品・紙・パルプ関連）,
太平ビル管理株式会社,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2-6-3,0480-32-0381,0480-34-0938,http://www.taiheibiru.co.jp/,ビルメンテナンス,
株式会社セキ薬品／高野台店,345-0045,埼玉県,北葛飾郡杉戸町,高野台西1丁目11-1,0480-31-0390,0480-31-0390,http://www.sekiyakuhin.co.jp/,薬,
国大セミナー杉戸校,345-0036,埼玉県,北葛飾郡杉戸町,杉戸3丁目10-9,0480-31-0410,0480-31-0410,http://www.kokudai.com/,塾・予備校,
ジャパン建材株式会社,345-0024,埼玉県,北葛飾郡杉戸町,堤根3857,0480-35-0441,0480-33-4668,http://www.jkenzai.co.jp/,製造・加工（建築資材）,
埼玉みずほ農協／支店／杉戸町／豊岡支店,345-0004,埼玉県,北葛飾郡杉戸町,大字宮前103-2,0480-38-0455,0480-44-2164,http://www.ja-saitamamizuho.or.jp/,組合・団体,
ブラザー精鋼株式会社,N.A.,埼玉県,北葛飾郡杉戸町,本郷645-1,0480-32-0500,0480-32-0969,http://www.brotherseiko.co.jp/,製造・加工（鉄鋼製品）,
特別養護老人ホーム清風園,345-0023,埼玉県,北葛飾郡杉戸町,大字本郷419,0480-37-0500,0480-37-0501,http://s-f-e.jp/,介護・福祉,
読売センター杉戸,345-0036,埼玉県,北葛飾郡杉戸町,杉戸3丁目6-4,0480-32-0515,0480-32-4032,http://www.adfull.jp/,映画・放送・新聞,
埼玉みずほ農協／支店／杉戸町／杉戸中央支店,345-0025,埼玉県,北葛飾郡杉戸町,清地1丁目1-27,0480-34-0551,N.A.,http://www.ja-saitamamizuho.or.jp/,組合・団体,
太平交通株式会社,345-0035,埼玉県,北葛飾郡杉戸町,内田2丁目5-7,0480-32-0578,0480-33-6066,http://www.taiheikotsu.co.jp/,タクシー,
イズミマトリックス株式会社,N.A.,埼玉県,北葛飾郡杉戸町,椿113-1,0480-38-0609,0480-38-2190,http://www.izumimatrix.jp/,運送・貨物・倉庫,
有限会社ヨシザワ電気,345-0004,埼玉県,北葛飾郡杉戸町,大字宮前189-4,0480-38-0637,0480-38-3203,http://www.berrys.co.jp/,家電,
特別養護老人ホーム良宝園,345-0014,埼玉県,北葛飾郡杉戸町,大字才羽2108-1,0480-38-0733,0480-38-0732,http://www.ryouhouen.com/,介護・福祉,
セブンイレブン／杉戸内田4丁目店,345-0035,埼玉県,北葛飾郡杉戸町,内田4丁目1-25,0480-31-0777,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
オートランドTOM,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野2381-1,0480-35-0819,0480-35-0866,http://autolandtom.web.fc2.com/,バイク用品,
株式会社セキ薬品／下高野店／健康の森,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野313-73,0480-32-0820,N.A.,http://www.sekiyakuhin.co.jp/,薬,
株式会社マイクグレー,N.A.,埼玉県,北葛飾郡杉戸町,大字本島600-3,0480-38-0831,N.A.,http://www.mikegray.co.jp/,洋服,
株式会社荻窪タイル商会,N.A.,埼玉県,北葛飾郡杉戸町,本郷610,0480-35-0844,0480-35-0099,http://www.ollstandard.co.jp/,製造・加工（その他）,
ヘアースタジオゼロ杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目10-16,0480-47-0848,N.A.,http://www.karabina.com/,趣味,
株式会社マテリアル,N.A.,埼玉県,北葛飾郡杉戸町,本郷758番地,0480-37-0888,N.A.,http://www.materialgroup.co.jp/,製造・加工（建築資材）,
リンガーハット／埼玉杉戸店,345-0025,埼玉県,北葛飾郡杉戸町,清地2丁目7-13,0480-35-0889,0480-35-0889,http://www.ringerhut.jp/,レストラン,
太平交通株式会社,345-0035,埼玉県,北葛飾郡杉戸町,内田2-5-7,0480-32-0931,0480-33-6066,http://www.taiheikotsu.co.jp/,運送・貨物・倉庫,
株式会社田崎アサヒ,345-0023,埼玉県,北葛飾郡杉戸町,本郷654-1,0480-31-0961,0480-31-0962,http://www.t-asahi.co.jp/,製造・加工（化学・プラスチック）,
杉戸サン歯科医院,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目9-20,0480-36-1002,0480-36-1004,http://sugitosunshika.com/,歯科系,
株式会社エマナック東日本,345-0012,埼玉県,北葛飾郡杉戸町,大字深輪193-9,0480-38-1010,06-6991-0010,https://emanak.co.jp/ja/,製造・加工（金属製品）,
凸版印刷株式会社／総合研究所,345-0046,埼玉県,北葛飾郡杉戸町,高野台南4丁目2-3,0480-34-1011,N.A.,http://www.toppan.co.jp/,組合・団体,
ガスト杉戸店,345-0025,埼玉県,北葛飾郡杉戸町,清地1丁目4-19,0480-36-1023,N.A.,http://www.skylark.co.jp/,レストラン,
東洋倉庫株式会社,N.A.,埼玉県,北葛飾郡杉戸町,本郷東中584,0480-36-1040,0480-36-1041,http://www.1040.co.jp/,運送・貨物・倉庫,
埼玉みずほ農協／支店／杉戸町／杉戸東支店,345-0015,埼玉県,北葛飾郡杉戸町,大字並塚1127,0480-38-1043,N.A.,http://www.ja-saitamamizuho.or.jp/,組合・団体,
株式会社東京インテリア家具杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,大字杉戸2370,0480-77-1111,0480-77-1110,http://www.tokyointerior.co.jp/,家具・インテリア,
杉戸町役場,345-0025,埼玉県,北葛飾郡杉戸町,清地2丁目9-29,0480-33-1111,0480-33-4550,http://www.town.sugito.lg.jp/,市区町村機関,
たむら歯科クリニック,345-0045,埼玉県,北葛飾郡杉戸町,高野台西5-10-11,0480-35-1118,N.A.,http://www.myclinic.ne.jp/,医院・診療所・療養所,
社会福祉法人杉風会／障害者支援施設庄内,345-0014,埼玉県,北葛飾郡杉戸町,大字才羽113,0480-38-1118,0480-38-1571,https://www.sanpuukai-syounai.com/,介護・福祉,
青翔運輸株式会社／本社,345-0002,埼玉県,北葛飾郡杉戸町,大字鷲巣118-2,0480-38-1128,0480-38-2136,http://seisho-group.jp/,運送・貨物・倉庫,
有限会社オフィスアイズ,345-0037,埼玉県,北葛飾郡杉戸町,大字本島2833-1,0480-37-1151,0480-37-1153,http://ashibaya.net/,総合・職別工事業,
株式会社小泉北関東／春日部営業所,345-0023,埼玉県,北葛飾郡杉戸町,大字本郷478-1,0480-35-1153,0480-35-0356,http://www.koizumig.co.jp/,製造・加工（建築資材）,
株式会社六花舎,345-0024,埼玉県,北葛飾郡杉戸町,堤根4422-3,0480-32-1161,0480-32-1860,http://www.ie-rokka.com/,総合・職別工事業,
株式会社ミツウロコ杉戸店,345-0023,埼玉県,北葛飾郡杉戸町,大字本郷697-3,0480-32-1181,0480-35-0552,https://www.mitsuuroko.co.jp/,燃料,
セーブオン杉戸フレッシュタウン店,345-0036,埼玉県,北葛飾郡杉戸町,大字杉戸2840-1,0480-37-1185,N.A.,http://www.saveon.co.jp/,コンビニ・スーパー・デパート,
バラの家,345-0024,埼玉県,北葛飾郡杉戸町,大字堤根4425-1,0480-35-1187,0480-34-9938,http://baranoie.web.fc2.com/,ガーデニング,
パシオス杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目9-20,0480-36-1207,0480-36-1208,http://www.paseos.co.jp/,洋服,
株式会社チヨダマシナリー,345-0023,埼玉県,北葛飾郡杉戸町,本郷638-1,0480-33-1211,0480-33-1223,http://www.chiyoda-machinery.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社埼玉りそな銀行／杉戸支店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目12-26,0480-34-1221,N.A.,http://www.resona-gr.co.jp/,金融・郵貯・貸金,
auショップ東武動物公園,345-0035,埼玉県,北葛飾郡杉戸町,内田1丁目1791,0480-37-1223,N.A.,http://www.to-tsu.com/,電話・通信,
株式会社MCJ,N.A.,埼玉県,北葛飾郡杉戸町,杉戸1-14-11,0480-36-1234,N.A.,http://www.mcj.jp/,製造・加工（工作機械・一般機械器具）,
まちの整骨院,345-0036,埼玉県,北葛飾郡杉戸町,杉戸4丁目1-1,0480-32-1240,0480-32-1240,http://www.soubikai.org/,整体等各種療術,
有限会社ファミリーハウジング,345-0015,埼玉県,北葛飾郡杉戸町,大字並塚558-4,0480-38-1243,0480-38-1249,http://familyhousing.co.jp/,不動産,
株式会社ウィーズ,N.A.,埼玉県,北葛飾郡杉戸町,清地5-1-6,0480-31-1250,0480-31-1253,http://www.withs.co.jp/,製造・加工（医療・薬関連）,
ミスタードーナツ杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目9-20,0480-33-1300,N.A.,https://www.misterdonut.jp/noscript.html,製造・加工（食料品）,
ジャパンケア杉戸倉松,345-0034,埼玉県,北葛飾郡杉戸町,倉松1丁目9-2,0480-36-1306,0480-36-1307,http://www.japan-care.com/,介護・福祉,
株式会社東京パック,345-0023,埼玉県,北葛飾郡杉戸町,本郷625,0480-35-1311,0480-35-1317,http://www.tokyo-pack.co.jp/,製造・加工（化学・プラスチック）,
特定医療法人社団ジャパンメディカルアライアンス東埼玉総合病院,345-0025,埼玉県,北葛飾郡杉戸町,清地2-2-11,0480-33-1311,N.A.,http://www.jinai.jp/,医院・診療所・療養所,
株式会社三嘉ホーム,345-0024,埼玉県,北葛飾郡杉戸町,大字堤根4040,0480-34-1333,0480-34-5135,http://www.miyoshi-inc.com/,建設業・工務店,
ビッグ・エー／杉戸清地店,345-0025,埼玉県,北葛飾郡杉戸町,清地2丁目4-7,0480-36-1374,N.A.,http://www.biga.co.jp/,コンビニ・スーパー・デパート,
チューリップ薬局高野台店,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目6-3,0480-37-1510,0480-37-1510,http://www.sekiyakuhin.co.jp/,薬,
株式会社セキュリティ,345-0045,埼玉県,北葛飾郡杉戸町,高野台西2丁目10-5,0480-33-1535,04-2925-1449,http://www.security-guard.jp/,アウトソーシング,
株式会社杉戸銘木店,345-0044,埼玉県,北葛飾郡杉戸町,大字下野942-1,0480-34-1536,N.A.,http://www.sugitomeiboku.com/,販売・卸（建設資材）,
井上勝雄,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野1288,0480-32-1576,0480-33-2476,http://www.inoue-sousai.com/,賃貸・レンタル,
ダイセーロジスティクス株式会社,345-0023,埼玉県,北葛飾郡杉戸町,大字本郷528-1,0480-36-1588,0480-36-1589,http://www.daisei-log.com/,運送・貨物・倉庫,
スクール21／杉戸教室,345-0036,埼玉県,北葛飾郡杉戸町,杉戸3丁目9-23,0480-36-1591,0480-37-0244,http://www.school21.jp/,塾・予備校,
スバルショップ杉戸,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野41-3,0480-36-1600,0480-34-6779,http://soma-m.jp/,自動車販売,
マツダオートザム杉戸,345-0035,埼玉県,北葛飾郡杉戸町,内田3丁目16-6,0480-32-1600,0480-32-1610,http://www.hosoi-car.co.jp/,自動車販売,
ばんどう太郎／杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,大字杉戸2384,0480-36-1601,0280-93-0188,http://www.bandotaro.co.jp/,レストラン,
太平ホーム株式会社,N.A.,埼玉県,北葛飾郡杉戸町,杉戸2丁目7番3号,0480-34-1601,0480-34-6137,http://www.taiheihome.co.jp/,建設業・工務店,
株式会社日章アドミニプラン運輸部,345-0025,埼玉県,北葛飾郡杉戸町,大字清地1304-6,0480-36-1660,0480-31-1870,http://www.nisshouadominiplan.com/,運送・貨物・倉庫,
ほっともっと杉戸内田店,345-0035,埼玉県,北葛飾郡杉戸町,内田2丁目9-7,0480-36-1681,0480-36-1682,http://www.hottomotto.com/,弁当・宅配,
カタヤ建設,345-0014,埼玉県,北葛飾郡杉戸町,才羽2178,0480-38-1693,0480-38-1693,http://www.kataya.org/,総合・職別工事業,
飯田接骨院,345-0046,埼玉県,北葛飾郡杉戸町,高野台南5丁目6-11,0480-34-1724,N.A.,http://www12.plala.or.jp/,整体等各種療術,
えぐち眼科,345-0025,埼玉県,北葛飾郡杉戸町,清地4-10-24,0480-37-1730,N.A.,http://www.eguchi-eye.jp/,医院・診療所・療養所,
サイゼリヤ／杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目6-7,0480-36-1761,N.A.,http://www.saizeriya.co.jp/,イタリアン・フレンチ,
株式会社パドックオートジャパン,345-0024,埼玉県,北葛飾郡杉戸町,大字堤根4066-4,0480-37-1770,048-753-5558,http://www.paddock-net.com/,車検・整備・修理,
関根建設株式会社,345-0037,埼玉県,北葛飾郡杉戸町,本島647,0480-38-1772,0480-38-1052,http://www.sekine-kk.jp/,総合・職別工事業,
ザ・ダイソーベルクス杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目9-20,0480-36-1778,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
やぶそば,345-0004,埼玉県,北葛飾郡杉戸町,大字宮前181-36,0480-38-1780,03-3258-0684,http://www.yabusoba.net/,そば・うどん,
学校法人志学会学院,345-0015,埼玉県,北葛飾郡杉戸町,大字並塚1643,0480-38-1810,0480-38-2976,http://shigakukai.ed.jp/,専修学校,
スクール21／杉戸高野台教室,345-0046,埼玉県,北葛飾郡杉戸町,高野台南2丁目1-8,0480-36-1821,N.A.,http://www.school21.jp/,塾・予備校,
セブンイレブン／杉戸並塚店,345-0015,埼玉県,北葛飾郡杉戸町,大字並塚1337-5,0480-38-1865,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
サンクス杉戸高野台西口店,345-0045,埼玉県,北葛飾郡杉戸町,高野台西1丁目10-1,0480-36-1880,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
デントマジック矢野,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野1-201,0480-33-1901,048-797-6122,http://www.dentmagic-yano.com/,車検・整備・修理,
株式会社エコシス埼玉,345-0023,埼玉県,北葛飾郡杉戸町,本郷593-1,0480-37-1919,0480-37-1920,http://www.ecosis.net/,廃棄物処理,
株式会社グラケン,N.A.,埼玉県,北葛飾郡杉戸町,木津内385-7,0480-38-1930,0480-38-3205,http://www.graken.co.jp/,建設業・工務店,
株式会社ダスキンエポックサービスマスター事業部,345-0036,埼玉県,北葛飾郡杉戸町,大字杉戸632-1,0480-35-1937,048-982-9025,http://duskin-epoch.co.jp/,住まいのクリーニング,
株式会社マミーマート／杉戸店,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野313-72,0480-31-2011,0480-31-2010,http://mami-mart.com/,コンビニ・スーパー・デパート,
山芳製菓株式会社,345-0023,埼玉県,北葛飾郡杉戸町,本郷1123番地,0480-32-2021,0480-35-1211,http://www.8044.jp/,食料品,
ゼンスイ株式会社,345-0036,埼玉県,北葛飾郡杉戸町,杉戸1丁目9-20,0480-33-2058,072-654-3753,http://www.zensui.co.jp/,その他ペット関連サービス,
有限会社トランスポートジュン,N.A.,埼玉県,北葛飾郡杉戸町,高野台西2-7-10-10,0480-36-2091,0480-31-1691,http://www.transport-jun.com/,運送・貨物・倉庫,
株式会社落合工業所,345-0043,埼玉県,北葛飾郡杉戸町,下高野265,0480-32-2108,0480-35-0635,http://www.ochiai-k.co.jp/,建設業・工務店,
オアシス整骨院,345-0043,埼玉県,北葛飾郡杉戸町,大字下高野2376-3,0480-31-2118,048-940-7703,http://www.oasis-seikotsu.com/,整体等各種療術,
公文式高野台教室,345-0045,埼玉県,北葛飾郡杉戸町,高野台西1丁目8-7,0480-35-2127,N.A.,http://www.kumon.ne.jp/,塾・予備校,
温野菜／杉戸店,345-0035,埼玉県,北葛飾郡杉戸町,内田2丁目15-27,0480-36-2129,N.A.,http://www.onyasai.com/,肉料理,
るーぱんカフェ杉戸高野台店,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目6-1,0480-35-2220,0480-33-5401,http://www.ru-pan.com/,イタリアン・フレンチ,
株式会社マルヤ／杉戸店,345-0025,埼玉県,北葛飾郡杉戸町,清地5丁目2-21,0480-32-2251,N.A.,https://www.maruya-group.co.jp/jp/,コンビニ・スーパー・デパート,
東武観光株式会社,345-0035,埼玉県,北葛飾郡杉戸町,内田4-5-29,0480-34-2261,N.A.,http://www.tobukanko.com/,観光・温泉・銭湯,
専修グループ／個別指導学院／高野台校,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目7-3,0480-31-2289,0480-32-5333,http://www.sensyu-grp.com/,塾・予備校,
株式会社太平,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2-7-3,0480-32-2310,0480-33-2673,http://taihei-g.co.jp/,屋内遊戯,
株式会社ミケン,345-0044,埼玉県,北葛飾郡杉戸町,下野823-8,0480-37-2340,0480-37-2341,http://www.kiriko-miken.jp/,製造・加工（工作機械・一般機械器具）,
たわら最中杉戸店,345-0036,埼玉県,北葛飾郡杉戸町,杉戸2丁目6-8,0480-35-2378,N.A.,http://www.tawara-monaka.com/,製造・加工（食料品）,
埼玉県／杉戸県土整備事務所,345-0036,埼玉県,北葛飾郡杉戸町,大字杉戸432,0480-34-2381,0480-36-1442,http://www.pref.saitama.lg.jp/,都道府県機関,
東埼玉総合病院附属清地クリニック,345-0025,埼玉県,北葛飾郡杉戸町,清地5丁目1-2,0480-37-2511,0480-37-2512,http://www.jinai.jp/,医院・診療所・療養所,
S.C.Iデザイン事務所,345-0047,埼玉県,北葛飾郡杉戸町,高野台東1丁目11-4-105,0480-36-2521,0480-36-2522,https://www.5scidesign.com/,印刷・出版,
