▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
瀬ケ崎スイミング,330-0044,埼玉県,さいたま市浦和区,瀬ヶ崎4丁目12-8,048-886-0002,048-886-0029,http://www.segasakisc.com/,スポーツ,
浦和やわらぎ苑,330-0052,埼玉県,さいたま市浦和区,本太3丁目4-13,048-884-0005,048-824-0006,http://www.yawaragien.jp/,介護・福祉,
株式会社SPDセキュリA／常駐警備事業部／営業部,330-0061,埼玉県,さいたま市浦和区,常盤5丁目17-5,048-832-0005,048-832-3274,http://www.spd-security.com/,アウトソーシング,
警備開発株式会社浦和営業所,330-0056,埼玉県,さいたま市浦和区,東仲町11-1,048-871-0007,N.A.,http://www.keibikaihatsu.co.jp/,アウトソーシング,
株式会社尾張屋本店,330-0061,埼玉県,さいたま市浦和区,常盤2丁目11-27,048-815-0008,048-815-0001,http://www.e-owariya.com/,不動産,
石井クリニック,330-0074,埼玉県,さいたま市浦和区,北浦和4-3-8テックビル4F,048-833-0010,N.A.,http://www.ishii-clinic.jp/,医院・診療所・療養所,
NISSHOカルチャーセンター,330-0074,埼玉県,さいたま市浦和区,北浦和1丁目11-11,048-823-0011,048-823-0077,http://www.nissho-group.jp/,趣味,
ホテルメッツ浦和,330-0063,埼玉県,さいたま市浦和区,高砂1丁目16-12,048-826-0011,048-826-0010,http://www.hotelmets.jp/,ホテル・ペンション,
日本ボイラ協会埼玉支部・各種講習等,330-0063,埼玉県,さいたま市浦和区,高砂2丁目13-19,048-833-0011,048-833-0031,http://www.jba-saitama.jp/,組合・団体,
医療法人秀山会,330-0071,埼玉県,さいたま市浦和区,上木崎4-2-25,048-831-0012,048-831-1310,http://hakuhou.or.jp/,医院・診療所・療養所,
美徳商事株式会社,330-0074,埼玉県,さいたま市浦和区,北浦和4-5-8,048-831-0016,048-824-1334,http://www.yoshidakaban.com/,プレイスポット,
BIKE-STUDIO,330-0064,埼玉県,さいたま市浦和区,岸町4丁目2-22,048-822-0017,048-824-3310,http://www2.suzuki.co.jp/,バイク用品,
さいたま市営北浦和自転車駐車場,330-0074,埼玉県,さいたま市浦和区,北浦和5丁目1,048-834-0017,N.A.,http://citysaitama-parkinfo.jp/,駐車場・パーキング,
有限会社千勢ライフ,330-0074,埼玉県,さいたま市浦和区,北浦和4丁目2-4,048-825-0017,048-825-0025,http://www.chiselife.com/,不動産,
株式会社ハウスプラン,330-0074,埼玉県,さいたま市浦和区,北浦和1-3-9,048-832-0021,048-832-0011,http://www.c21houseplan.co.jp/,不動産,
株式会社栄進住宅,330-0063,埼玉県,さいたま市浦和区,高砂4丁目3-21,048-836-0021,048-836-0022,http://www.century21.jp/,不動産,
そめの近江,330-0053,埼玉県,さいたま市浦和区,前地2丁目5-4,048-827-0022,N.A.,http://www.some-oumi.com/,クリーニング,
メガネドラッグ／浦和店,330-0063,埼玉県,さいたま市浦和区,高砂2丁目12-12,048-831-0022,048-822-6340,http://www.meganedrug.com/,生活用品,
埼玉県住まいづくり協議会,330-0062,埼玉県,さいたま市浦和区,仲町3丁目12-6,048-830-0033,048-830-0034,http://www.sahn.jp/,組合・団体,
筑波進研スクール／上木崎教室,330-0071,埼玉県,さいたま市浦和区,上木崎5丁目2-23,048-831-0036,N.A.,http://www.tsukuba-shinken.com/,塾・予備校,
あさば内科,330-0044,埼玉県,さいたま市浦和区,瀬ヶ崎3丁目9-6,048-871-0055,048-871-0051,http://www.asabanaika.jp/,内科系,
社団法人埼玉県薬剤師会／事務局,330-0062,埼玉県,さいたま市浦和区,仲町3丁目5-1,048-827-0060,048-827-0063,http://www.saiyaku.or.jp/,組合・団体,
株式会社マルタ設計,330-0063,埼玉県,さいたま市浦和区,高砂3-10-1日建県庁前ビル3階,048-839-0066,048-845-4050,http://www.malta.co.jp/,印刷・出版,
アイバ産業株式会社,330-0061,埼玉県,さいたま市浦和区,常盤5-2-18,048-834-0070,048-834-0051,http://www.i-ll-group.co.jp/,建設業・工務店,
アイリスガーデン北浦和,330-0074,埼玉県,さいたま市浦和区,北浦和5丁目13-6,048-814-0070,N.A.,http://www.nichii-irisgarden.jp/,介護・福祉,
ディスクユニオン北浦和店,330-0061,埼玉県,さいたま市浦和区,常盤10丁目8-5,048-832-0076,048-832-0489,http://diskunion.net/,CD・DVD,
近畿日本ツーリスト・ツーリスト浦和,330-0063,埼玉県,さいたま市浦和区,高砂2丁目6-11-201,048-834-0077,N.A.,http://www.knt.co.jp/,旅行業・代理店,
アスワンハウジング株式会社,330-0055,埼玉県,さいたま市浦和区,東高砂町14-1,048-871-0078,048-871-0079,http://ass1.jp/,不動産,
埼玉県薬剤師国民健康保険組合,330-0062,埼玉県,さいたま市浦和区,仲町3丁目5-1,048-827-0081,048-827-0082,http://www.saiyakukokuho.or.jp/,組合・団体,
埼玉県青色申告会連合会,330-0074,埼玉県,さいたま市浦和区,北浦和5丁目6-5,048-825-0089,048-799-2519,http://www.urawa-aoiro.jp/,組合・団体,
日本上下水道設計株式会社,330-0061,埼玉県,さいたま市浦和区,常盤4-1-1,048-824-0090,048-824-0092,http://www.njs.co.jp/,印刷・出版,
エクスウォール株式会社,330-0061,埼玉県,さいたま市浦和区,常盤2-6-5-401,048-824-0091,048-824-4152,http://exwall.jp/,リフォーム,
中華食堂日高屋／浦和さくら草通店,330-0063,埼玉県,さいたま市浦和区,高砂2丁目6-13,048-827-0096,N.A.,http://hidakaya.hiday.co.jp/,中華・中国料理,
株式会社ケン・ハウジング,330-0055,埼玉県,さいたま市浦和区,東高砂町2-3,048-871-0099,048-871-0089,http://www.ken-housing.com/,不動産,
株式会社トヨタレンタリース埼玉／浦和駅前店,330-0055,埼玉県,さいたま市浦和区,東高砂町19-1,048-881-0100,048-881-5628,http://saitama.rl-toyota.co.jp/,リース・レンタル,
株式会社トヨタレンタリース埼玉／北浦和駅前店,330-0074,埼玉県,さいたま市浦和区,北浦和4丁目8-7,048-832-0100,048-832-9725,http://saitama.rl-toyota.co.jp/,リース・レンタル,
