▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社正時堂ピアノ壱番館,029-4502,岩手県,胆沢郡金ケ崎町,三ケ尻勘九郎東10-1,0197-41-0031,0197-41-0032,http://www.shozido.com/,音楽,
住友電装株式会社,N.A.,岩手県,胆沢郡金ヶ崎町,永沢上原33-32,0197-41-0051,0197-41-0052,http://www.sws.co.jp/,製造・加工（電子・精密機械器具）,
ガスト北上金ヶ崎店,029-4502,岩手県,胆沢郡金ケ崎町,三ケ尻荒巻165,0197-41-0321,N.A.,http://www.skylark.co.jp/,レストラン,
ファミリーマート金ヶ崎三ヶ尻店,029-4502,岩手県,胆沢郡金ケ崎町,三ケ尻荒巻138-1,0197-41-0755,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
イオンスーパーセンター金ヶ崎店,029-4502,岩手県,胆沢郡金ケ崎町,三ケ尻荒巻165,0197-41-0800,N.A.,http://www.aeonsupercenter.co.jp/,コンビニ・スーパー・デパート,
ツルハドラッグ金ケ崎店,029-4503,岩手県,胆沢郡金ケ崎町,西根本宮後15,0197-41-1091,0197-41-1091,http://www.tsuruha.co.jp/,薬,
金ケ崎町役場／町立図書館,029-4503,岩手県,胆沢郡金ケ崎町,西根西地蔵野5,0197-41-1900,0197-44-5661,http://www.library-kanegasaki.jp/,市区町村機関,
エレテック（ELETEC）,029-4503,岩手県,胆沢郡金ケ崎町,西根前村16,0197-41-1950,0197-41-1970,http://www.eletec-web.com/,防犯・防火,
ホテルトスカーナ,029-4501,岩手県,胆沢郡金ケ崎町,六原赤坂裏7-9,0197-43-2001,0197-41-9090,http://www.hotel-toscana.jp/,ホテル・ペンション,
夢殿,029-4501,岩手県,胆沢郡金ケ崎町,六原赤坂前21,0197-43-2011,N.A.,http://www.yumedono.net/,ホテル・ペンション,
有限会社磯田電器,029-4503,岩手県,胆沢郡金ヶ崎町,西根西地蔵野38-8,0197-44-2067,0197-44-3383,http://www.isodadenki.co.jp/,製造・加工（電子・精密機械器具）,
金ヶ崎町国際交流協会,029-4503,岩手県,胆沢郡金ケ崎町,西根南羽沢55,0197-44-2099,0197-44-2099,http://kifa.cocolog-nifty.com/,組合・団体,
岩手県／岩手県花きセンター,029-4501,岩手県,胆沢郡金ケ崎町,六原頭無2-1,0197-43-2107,0197-43-2108,http://www.pref.iwate.jp/,都道府県機関,
金ケ崎町役場,029-4503,岩手県,胆沢郡金ケ崎町,西根南町22-1,0197-42-2111,0197-42-4474,http://www.town.kanegasaki.iwate.jp/,市区町村機関,
共栄運輸株式会社,029-4503,岩手県,胆沢郡金ヶ崎町,西根西檀原4-1,0197-42-2121,0197-42-2418,http://www.rnac.ne.jp/,運送・貨物・倉庫,
岩手県／県南青少年の家,029-4504,岩手県,胆沢郡金ケ崎町,永沢下舘49-1,0197-44-2124,0197-44-2126,https://sp.echna.ne.jp/,都道府県機関,
株式会社ジュリアン,029-4505,岩手県,胆沢郡金ヶ崎町,永栄上宿26-3,0197-44-2131,0197-44-5173,http://www.midorino-sato.jp/,スポーツ施設,
みどりの郷みちのく城址温泉,029-4505,岩手県,胆沢郡金ケ崎町,永栄上宿26-3,0197-44-2132,0197-44-5173,http://www.midorino-sato.jp/,旅館・民宿,
JA岩手ふるさと／金ケ崎支店,029-4503,岩手県,胆沢郡金ケ崎町,西根伊勢分23-5,0197-42-2141,0197-42-2167,http://www.jafurusato.or.jp/,組合・団体,
岩手県立農業大学校,029-4501,岩手県,胆沢郡金ケ崎町,六原蟹子沢14,0197-43-2211,0197-43-3184,http://www2.pref.iwate.jp/,小・中・高・大学等,
株式会社板宮建設,029-4503,岩手県,胆沢郡金ヶ崎町,西根矢来19,0197-42-2225,0197-42-3535,http://itamiya.info/,総合・職別工事業,
金ヶ崎温泉駒子の湯,029-4503,岩手県,胆沢郡金ケ崎町,西根和光544-1,0197-43-2227,0197-43-2568,http://kanegasaki.oshushi.com/,観光・温泉・銭湯,
東亜道路工業株式会社／岩手工場,029-4503,岩手県,胆沢郡金ケ崎町,西根南野中27,0197-44-2233,0197-44-5073,http://www.toadoro.co.jp/,製造・加工（建築資材）,
東亜道路工業株式会社,029-4503,岩手県,胆沢郡金ヶ崎町,西根南野中27,0197-44-2250,0197-44-5073,http://www.toadoro.co.jp/,建設業・工務店,
株式会社六原,029-4501,岩手県,胆沢郡金ヶ崎町,六原森合43番地1,0197-43-2410,0197-43-2157,http://rokuhara.co.jp/,製造・加工（その他）,
JA岩手ふるさと／金ケ崎中央支店,029-4503,岩手県,胆沢郡金ケ崎町,西根高谷野原79-1125,0197-43-2426,0197-43-3101,http://www.jafurusato.or.jp/,組合・団体,
JR東日本／金ケ崎駅,029-4503,岩手県,胆沢郡金ケ崎町,西根杉土手2-1,0197-42-2453,0197-41-2017,https://www.jreast.co.jp/,交通機関,
日本ニューホランド株式会社岩手南営業所,029-4503,岩手県,胆沢郡金ケ崎町,西根古寺102,0197-44-2468,0197-44-2546,http://www.nh-hft.co.jp/,農業,
チーズとジェラートの店カウベル,029-4503,岩手県,胆沢郡金ケ崎町,西根吉田沢1-188,0197-43-2570,0197-43-2570,http://www.shokokai.or.jp/,お菓子・スイーツ,
アイシン東北株式会社,029-4503,岩手県,胆沢郡金ヶ崎町,西根森山6,0197-44-2663,0197-44-3540,http://www.aisin-tohoku.co.jp/,製造・加工（輸送機械器具）,
三機工業株式会社岩手中部工事事務所,029-4503,岩手県,胆沢郡金ケ崎町,西根北荒巻18-7,0197-44-2687,N.A.,http://www.sanki.co.jp/,空調,
金ケ崎町商工会,029-4503,岩手県,胆沢郡金ケ崎町,西根伊勢分23-5-2F,0197-42-2710,0197-42-2713,http://www.shokokai.com/,組合・団体,
JA岩手ふるさと／金ケ崎地域センター／畜産,029-4503,岩手県,胆沢郡金ケ崎町,西根高谷野原79-1124,0197-43-2774,0197-43-2461,http://www.jafurusato.or.jp/,組合・団体,
有限会社金ケ崎不動産,029-4503,岩手県,胆沢郡金ケ崎町,西根本町40,0197-42-2777,0197-42-3555,http://www.ap-mart.com/,不動産,
ビューテック株式会社岩手営業所,029-4503,岩手県,胆沢郡金ケ崎町,西根森山19-2,0197-44-2884,0197-44-2886,http://www.vuteq.co.jp/,製造・加工（輸送機械器具）,
美豊商事株式会社岩手営業所,029-4503,岩手県,胆沢郡金ケ崎町,西根森山4-18,0197-44-2917,N.A.,http://www.miho-shoji.co.jp/,販売・卸（建設資材）,
金ケ崎町文化体育館,029-4503,岩手県,胆沢郡金ケ崎町,西根南羽沢33,0197-44-3010,0197-44-5789,http://www.kanegasakitaikiyou.jp/,サッカー,
有限会社キリ美装,029-4502,岩手県,胆沢郡金ヶ崎町,三ヶ尻勘九郎東75-2,0197-44-3021,0197-44-3022,http://www.edge-graphics.jp/,総合・職別工事業,
