▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
丸川製作所,963-6217,福島県,石川郡浅川町,大字簑輪字大代1-52,0247-38-1001,0247-38-1002,http://marukawa-co.jp/,製造・加工（金属製品）,
?田工業株式会社,N.A.,福島県,石川郡浅川町,大字字浅川字大明塚28-2番地,0247-35-1110,0247-35-1110,http://www.takadakogyo.co.jp/,建設業・工務店,
有限会社サカイフーズ,963-6203,福島県,石川郡浅川町,山白石字本内23,0247-36-1145,0247-36-2241,http://www.sakai-egg.co.jp/,農業,
株式会社ミツワパーツ,963-6202,福島県,石川郡浅川町,大字里白石字長戸273-6,0247-38-1225,0247-38-1228,http://www.mituwa-p.co.jp/,製造・加工（電子・精密機械器具）,
株式会社アクティブエンジニア,963-6217,福島県,石川郡浅川町,大字簑輪字大代1-60,0247-38-1555,0247-38-1556,http://www.active-en.co.jp/,製造・加工（電子・精密機械器具）,
株式会社ダイユーエイト浅川店,963-6204,福島県,石川郡浅川町,大字浅川字月斉31-1,0247-38-1940,0247-36-124,http://www.daiyu8.co.jp/,生活用品,
浅川印刷所,963-6204,福島県,石川郡浅川町,大字浅川字大明塚117-29,0247-36-2091,0247-36-2911,http://asakawa-pg.com/,印刷・出版,
まつや,963-6217,福島県,石川郡浅川町,大字簑輪字池下162-1,0247-36-2248,N.A.,http://www.kanda-matsuya.jp/,レストラン,
株式会社エヌ・ティー・エス,963-6203,福島県,石川郡浅川町,山白石字破石下197-1,0247-36-2534,0247-36-4860,https://ntsjapan.squarespace.com/,製造・加工（輸送機械器具）,
株式会社ニッセイ福島工場,963-6216,福島県,石川郡浅川町,大字袖山字梵天山4,0247-36-2651,0247-36-3194,http://www.nisei.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社コムロ,963-6217,福島県,石川郡浅川町,簑輪字大代1-28,0247-36-3118,0247-36-4358,http://www.komuro-ems.co.jp/,製造・加工（電子・精密機械器具）,
協同製油,963-6204,福島県,石川郡浅川町,大字浅川字背戸谷地98-5,0247-36-3208,0247-36-3208,http://www.annaiban.net/,製造・加工（食料品）,
株式会社コンド電機浅川工場,963-6217,福島県,石川郡浅川町,大字簑輪字山敷田56-10,0247-36-3400,0247-36-2666,https://www.kondodenki.com/,製造・加工（電子・精密機械器具）,
有限会社酒井養鶏場,963-6203,福島県,石川郡浅川町,大字山白石字軽米39,0247-36-3427,0247-36-2241,http://www.sakai-egg.co.jp/,農業,
株式会社関東精工／浅川工場,963-6218,福島県,石川郡浅川町,大字東大畑字道ケ作28-1,0247-36-3711,048-727-1395,http://www.kskj.co.jp/,電話・通信,
公文式数学国語英語浅川町教室,963-6204,福島県,石川郡浅川町,大字浅川字大明塚81,0247-36-4048,N.A.,http://www.kumon.ne.jp/,塾・予備校,
大同信号株式会社浅川事業所,963-6204,福島県,石川郡浅川町,大字浅川字背戸谷地177-18,0247-36-4111,0247-36-4682,http://www.daido-signal.co.jp/,製造・加工（電子・精密機械器具）,
吉田富三記念館,963-6216,福島県,石川郡浅川町,大字袖山字森下287,0247-36-4129,0247-36-4807,http://www.tomizo.or.jp/,博物館・美術館,
株式会社東邦銀行浅川支店,963-6204,福島県,石川郡浅川町,大字浅川字本町24-2,0247-36-4171,0247-36-3630,http://www.tohobank.co.jp/,金融・郵貯・貸金,
リオン・ドール浅川店,963-6204,福島県,石川郡浅川町,大字浅川字月斉31-1,0247-36-4555,0247-36-4558,http://www.liondor.jp/,コンビニ・スーパー・デパート,
株式会社ノーサンフーズ,963-6204,福島県,石川郡浅川町,浅川字越巻93-3,0247-36-4628,0247-36-4629,http://www.nosan-foods.co.jp/,製造・加工（食料品）,
有限会社花月庭園,963-6204,福島県,石川郡浅川町,大字浅川字大明塚6-1,0247-36-4646,0247-36-4649,http://kagetsu-teien.com/,ガーデニング,
