▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
日産電業株式会社／本社,319-0106,茨城県,小美玉市,堅倉1638-5,0299-48-0001,0299-48-3222,http://23d.co.jp/,販売・卸（建設資材）,
株式会社山西商店,N.A.,茨城県,小美玉市,与沢511,0299-54-0005,N.A.,http://www.yamanishi-s.jp/,製造・加工（化学・プラスチック）,
株式会社明和技術コンサルタンツ,311-3414,茨城県,小美玉市,外之内398-1,0299-54-0009,N.A.,http://www.meiwagijutsu.com/,印刷・出版,
日本エイテックス株式会社,N.A.,茨城県,小美玉市,中延2260-12,0299-37-0011,0299-37-1411,http://www.eightex.co.jp/,洋服,
小規模多機能型居宅介護事業所はるるの郷,311-3423,茨城県,小美玉市,小川1853-1,0299-37-0015,0299-37-0028,http://o-minami.jp/,介護・福祉,
小美玉スポーツクラブ（NPO法人）,311-3423,茨城県,小美玉市,小川725-8,0299-58-0017,0299-58-0017,http://omitama-sports.com/,組合・団体,
八進緑産株式会社本社,311-3406,茨城県,小美玉市,下吉影1627-1,0299-53-0030,0299-52-1950,http://www.8463.jp/,ガーデニング,
関商店,319-0106,茨城県,小美玉市,堅倉281,0299-48-0058,0299-48-0897,http://sekishoten.com/,販売・卸（食料品）,
クリエイトS・D茨城小美玉店,311-3422,茨城県,小美玉市,中延2284,0299-37-0065,0299-37-0081,https://www.create-sd.co.jp/default.aspx,薬,
ザ・ダイソー小川ショッピングプラザ店,311-3411,茨城県,小美玉市,野田348-1-B,0299-37-0070,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
とうがさき写真館,319-0106,茨城県,小美玉市,堅倉999-2,0299-48-0075,0299-36-7222,http://studio-t.p1.bindsite.jp/,写真・ビデオ・スライド,
アップル堅倉,319-0106,茨城県,小美玉市,堅倉1435-2,0299-48-0077,0299-48-1227,http://www.apl21.com/,車検・整備・修理,
株式会社ワイズサポート,311-3424,茨城県,小美玉市,幡谷362-1,0299-58-0092,0299-58-0920,http://www.wisesupport.jp/,証券・保険・商品先物,
株式会社星医療酸器,319-0107,茨城県,小美玉市,小岩戸字鹿久保1034-1,0299-48-0101,0299-48-1694,http://www.hosi.co.jp/,ガソリンスタンド,
ひたち野農業協同組合／玉里営農センター,311-3432,茨城県,小美玉市,下玉里456,0299-58-0111,0299-58-1199,http://www.ib-ja.or.jp/,組合・団体,
株式会社大栄製作所,319-0111,茨城県,小美玉市,中野谷434-10,0299-47-0111,N.A.,http://www.taiei.co.jp/,製造・加工（金属製品）,
株式会社鶴町製作所,N.A.,茨城県,小美玉市,西郷地1563-24,0299-48-0123,N.A.,http://www.tsurumachi.co.jp/,製造・加工（鉄鋼製品）,
